"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030106a Ullern";"88 years";86
"030106a Ullern";"89 years";95
"030106a Ullern";"90 years";54
"030106a Ullern";"91 years";75
"030106a Ullern";"92 years";68
"030106a Ullern";"93 years";53
"030106a Ullern";"94 years";36
"030106a Ullern";"95 years";34
"030106a Ullern";"96 years";29
"030106a Ullern";"97 years";23
"030106a Ullern";"98 years";13
"030106a Ullern";"99 years";7
"030106a Ullern";"100 years";2
"030106a Ullern";"101 years";8
"030106a Ullern";"102 years";3
"030106a Ullern";"103 years";0
"030106a Ullern";"104 years";2
"030106a Ullern";"105 years or older";2
"030107a Vestre Aker";"0 years";652
"030107a Vestre Aker";"1 year";662
"030107a Vestre Aker";"2 years";691
"030107a Vestre Aker";"3 years";656
"030107a Vestre Aker";"4 years";721
"030107a Vestre Aker";"5 years";667
"030107a Vestre Aker";"6 years";692
"030107a Vestre Aker";"7 years";700
